Player_Name,XPD@29,CSD@29,GD@29
GIA Th3Antonio,-806,-32.0,-2178
ANO SPOOKY,799,-10.0,-983
NORD OMON,4402,35.0,4463
SIN Strode,5813,196.0,7313
ZTA FGG,-1630,-192.0,-1627
