Player_Name,XPD@29,CSD@29,GD@29
NORD Velocity,806,32.0,2178
SK Gilius,-799,10.0,983
AEG Shiganari,-4402,-35.0,-4463
RAAD Lucky,-5813,-196.0,-7313
GLR PiOk,1630,192.0,1627
