Player_Name,XPD@14,CSD@14,GD@14
JDG 369,-2011,-38.0,-1598
JDG Kanavi,-459,3.0,-366
JDG knight,801,22.0,304
JDG Ruler,-809,-19.0,-1157
JDG MISSING,-371,21.0,-740
