MatchName,MatchId,SummonerName,championName
14.1.547.8890,LOLTMNT99_113155,cq|000157,TRV Diesel,Rumble
14.1.547.8890,LOLTMNT99_113155,cq|000157,OLD RBM,JarvanIV
14.1.547.8890,LOLTMNT99_113155,cq|000157,AMI Ariendel,Ahri
14.1.547.8890,LOLTMNT99_113155,cq|000157,TACO Red,MissFortune
14.1.547.8890,LOLTMNT99_113155,cq|000157,APR Clyde,Rell
14.1.547.8890,LOLTMNT99_113155,cq|000157,COLD Yukino,Nocturne
14.1.547.8890,LOLTMNT99_113155,cq|000157,KatEvolved,Orianna
14.1.547.8890,LOLTMNT99_113155,cq|000157,CCGE Bruhruto,Rakan
14.1.547.8890,LOLTMNT99_113155,cq|000157,Tenacity,Aatrox
14.1.547.8890,LOLTMNT99_113155,cq|000157,Doublelift,Jhin
14.1.547.8890,LOLTMNT99_113164,cq|000158,BOL Aizo,Yone
14.1.547.8890,LOLTMNT99_113164,cq|000158,DIG eXyu,Brand
14.1.547.8890,LOLTMNT99_113164,cq|000158,TL APA,Sion
14.1.547.8890,LOLTMNT99_113164,cq|000158,TL CoreJJ,Lulu
14.1.547.8890,LOLTMNT99_113164,cq|000158,TL Yeon,Jinx
14.1.547.8890,LOLTMNT99_113164,cq|000158,LIT Dragoon,Aatrox
14.1.547.8890,LOLTMNT99_113164,cq|000158,LIT Messages,Graves
14.1.547.8890,LOLTMNT99_113164,cq|000158,TLHC Keel,Lillia
14.1.547.8890,LOLTMNT99_113164,cq|000158,DIG Tomo,Aphelios
14.1.547.8890,LOLTMNT99_113164,cq|000158,DIG Isles,Blitzcrank
14.1.547.8890,LOLTMNT99_113168,cq|000159,TACO Nxi,LeeSin
14.1.547.8890,LOLTMNT99_113168,cq|000159,Billy1,Lux
14.1.547.8890,LOLTMNT99_113168,cq|000159,Fairy,Akali
14.1.547.8890,LOLTMNT99_113168,cq|000159,Doublelift,Jhin
14.1.547.8890,LOLTMNT99_113168,cq|000159,FLY Bwipo,Rumble
14.1.547.8890,LOLTMNT99_113168,cq|000159,COLD Yukino,Viego
14.1.547.8890,LOLTMNT99_113168,cq|000159,KatEvolved,Hwei
14.1.547.8890,LOLTMNT99_113168,cq|000159,Diamond,Pyke
14.1.547.8890,LOLTMNT99_113168,cq|000159,Tenacity,Yone
14.1.547.8890,LOLTMNT99_113168,cq|000159,TLHC Spawn,Varus
14.1.547.8890,LOLTMNT99_113180,cq|000161,BOL Aizo,Yone
14.1.547.8890,LOLTMNT99_113180,cq|000161,TL APA,Sion
14.1.547.8890,LOLTMNT99_113180,cq|000161,TLHC Keel,Lillia
14.1.547.8890,LOLTMNT99_113180,cq|000161,DIG Tomo,Zeri
14.1.547.8890,LOLTMNT99_113180,cq|000161,DIG Isles,Rakan
14.1.547.8890,LOLTMNT99_113180,cq|000161,LIT Dragoon,Aatrox
14.1.547.8890,LOLTMNT99_113180,cq|000161,DIG eXyu,Kindred
14.1.547.8890,LOLTMNT99_113180,cq|000161,LIT Messages,Brand
14.1.547.8890,LOLTMNT99_113180,cq|000161,TL Yeon,Jhin
14.1.547.8890,LOLTMNT99_113180,cq|000161,TL CoreJJ,Nautilus
14.1.547.8890,LOLTMNT99_113183,cq|000162,TRV Diesel,Rumble
14.1.547.8890,LOLTMNT99_113183,cq|000162,OLD RBM,JarvanIV
14.1.547.8890,LOLTMNT99_113183,cq|000162,BOG RJS,Lucian
14.1.547.8890,LOLTMNT99_113183,cq|000162,APR Clyde,Nautilus
14.1.547.8890,LOLTMNT99_113183,cq|000162,CAT avril,Syndra
14.1.547.8890,LOLTMNT99_113183,cq|000162,ISU CMD ATK,Galio
14.1.547.8890,LOLTMNT99_113183,cq|000162,COLD Antcliff,Akshan
