Patch;MatchName;MatchId;SummonerName;championName
14.1.547.8890;LOLTMNT99_127623;;HRTS Xerxe;Elise
14.1.547.8890;LOLTMNT99_127623;;HRTS Zwyroo;Leblanc
14.1.547.8890;LOLTMNT99_127623;;HRTS Jackspektra;Draven
14.1.547.8890;LOLTMNT99_127623;;HRTS whiteinn;Pyke
14.1.547.8890;LOLTMNT99_127543;;HRTS Carlsen;Poppy
14.1.547.8890;LOLTMNT99_127543;;HRTS Xerxe;Trundle
14.1.547.8890;LOLTMNT99_127543;;HRTS Zwyroo;Leblanc
14.1.547.8890;LOLTMNT99_127543;;HRTS Jackspektra;Ashe
14.1.547.8890;LOLTMNT99_127543;;HRTS whiteinn;Milio
14.1.547.8890;LOLTMNT99_127543;;AEG Agresivoo;Sion
14.1.547.8890;LOLTMNT99_127543;;AEG Ryuzaki;XinZhao
14.1.547.8890;LOLTMNT99_127543;;AEG Nafkelah;Ahri
14.1.547.8890;LOLTMNT99_127543;;AEG Hid0;Varus
14.1.547.8890;LOLTMNT99_127543;;AEG Veignorem;Rakan
14.1.547.8890;LOLTMNT99_126612;;AEG Agresivoo;Olaf
14.1.547.8890;LOLTMNT99_126612;;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_126612;;AEG Nafkelah;Syndra
14.1.547.8890;LOLTMNT99_126612;;AEG Hid0;Varus
14.1.547.8890;LOLTMNT99_126612;;AEG Veignorem;Nautilus
14.1.547.8890;LOLTMNT99_126612;;HRTS Carlsen;Sion
14.1.547.8890;LOLTMNT99_126612;;HRTS Xerxe;Viego
14.1.547.8890;LOLTMNT99_126612;;HRTS Zwyroo;Orianna
14.1.547.8890;LOLTMNT99_126612;;HRTS Jackspektra;Aphelios
14.1.547.8890;LOLTMNT99_126612;;HRTS whiteinn;Rell
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;AEG Agresivoo;KSante
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;AEG Ryuzaki;Nocturne
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;AEG Nafkelah;Hwei
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;AEG Hid0;Kaisa
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;AEG Veignorem;Nautilus
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;EIQ Robocop;Gwen
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;ANO SPOOKY;LeeSin
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;AB many;Azir
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;SIN Strode;Xayah
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;EIQ denyk;Rakan
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;EIQ Robocop;Aatrox
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;ANO SPOOKY;JarvanIV
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;AB many;Akali
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;SIN Strode;Varus
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;EIQ denyk;Milio
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;AEG Agresivoo;Yone
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;AEG Nafkelah;Swain
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;AEG Hid0;Ashe
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;AEG Veignorem;Rell
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;AEG Agresivoo;Renekton
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;AEG Nafkelah;Leblanc
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;AEG Veignorem;Heimerdinger
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;EIQ Robocop;Sion
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;ANO SPOOKY;Vi
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;AB many;Orianna
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;SIN Strode;Jhin
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;EIQ denyk;Lux
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;EIQ Robocop;Ornn
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;ANO SPOOKY;Rell
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;AB many;Syndra
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;SIN Strode;Lucian
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;EIQ denyk;Milio
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;AEG Agresivoo;Sion
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;AEG Nafkelah;Orianna
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;AEG Veignorem;Lux
