Player_Name,XPD@24,CSD@24,GD@24
T1 Zeus,-511.75,-23.0,615.0
T1 Oner,304.0,5.0,758.75
T1 Faker,-611.5,-6.5,-25.25
T1 Gumayusi,82.75,-7.5,411.25
T1 Keria,1350.5,-5.25,1283.25
