MatchId;SummonnerName;XPD@15;GD@15;XP/Min;Deaths;KP%;WardPlaced;WardKilled;Damage/Min;JungleProximity;topLanePresence;midLanePresence;botLanePresence;jungleAllyEntryPresence;jungleEnemyEntryPresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
110853167109182164|game2;DK Kellin;-54;140;232.4637281088954;0;1.0;15;3;57.114238320191745;0.2609871534820825;0.0;0.01555104800540906;0.4638269100743746;0.072684246112238;0.004732927653820149;0.00878972278566599;0.08688302907369845;0.0;0.0;0.046315077755240026;0.018931710615280595
110853167109182164|game2;KT Lehends;-54;140;235.87488064092813;2;1.0;15;5;126.5686737858423;0.3424611223799865;0.0;0.054090601757944556;0.3580121703853955;0.029411764705882353;0.02805949966193374;0.029411764705882353;0.03820148749154834;0.0;0.020622041920216362;0.19776876267748478;0.014198782961460446
110853020184706735|game1;NRG IgNar;2033;1011;346.6368618098269;0;0.0;6;1;76.49738277639632;0.06916724019270475;0.0;0.01995870612525809;0.7450103234686855;0.019270474879559532;0.0;0.0;0.06503785271851342;0.0;0.0;0.03269098417068135;0.0
110853020184706735|game1;WBG Crisp;2033;1011;218.1802923494955;0;0.0;18;1;128.83542925007757;0.31486579490708877;0.0;0.0440467997247075;0.5392291810048176;0.02064693737095664;0.011355815554026153;0.051273227804542326;0.056434962147281484;0.0;0.025464556090846524;0.06779077770130763;0.0
110853020184706735|game3;NRG IgNar;416;-483;239.19279318114164;2;1.0;18;9;269.9426303077953;0.44256308100929614;0.028220451527224435;0.05677290836653386;0.449203187250996;0.043824701195219126;0.008964143426294821;0.024236387782204515;0.09362549800796813;0.0;0.025232403718459494;0.00099601593625498;0.059428950863213814
110853020184706735|game3;WBG Crisp;416;-483;212.91758801521743;0;0.6;18;6;229.98056687512448;0.3940903054448871;0.0063081009296148734;0.05876494023904383;0.39608233731739706;0.018924302788844622;0.04415670650730412;0.029216467463479414;0.052788844621513946;0.0033200531208499337;0.027888446215139442;0.09362549800796813;0.06606905710491368
110853020184706729|game4;BLG ON;136;0;266.62041812306495;0;0.5;19;5;148.13807618609036;0.33639344262295084;0.0;0.04295081967213115;0.4373770491803279;0.018688524590163933;0.006885245901639345;0.0;0.05508196721311476;0.0;0.043934426229508196;0.13639344262295083;0.0
110853020184706729|game4;GEN Delight;136;0;258.0299474135798;0;1.0;15;6;153.10828194324034;0.2422950819672131;0.0;0.06557377049180328;0.40295081967213114;0.032131147540983604;0.0036065573770491803;0.015737704918032787;0.08032786885245902;0.0;0.029508196721311476;0.08196721311475409;0.006229508196721312
110853020184706729|game5;BLG ON;1193;1732;342.1656658511846;0;0.0;8;1;54.45906679124973;0.05629736557199567;0.0;0.02201371346084446;0.7675929267412487;0.0054132082280765065;0.0;0.0;0.009382894261999277;0.0;0.0;0.04691447130999639;0.0
110853020184706729|game5;GEN Delight;1193;1732;266.7817989332782;0;0.5;12;5;92.44362496853716;0.1346084446048358;0.048357993504150126;0.08372428726091663;0.4399133886683508;0.010465535907614579;0.030313966077228437;0.007578491519307109;0.03500541320822808;0.039696860339227716;0.01335258029592205;0.041862143630458315;0.027066041140382534
110853167109182156|game1;NRG IgNar;1881;1948;356.8583557394933;0;0.4;6;5;197.28971437030734;0.1303249097472924;0.0;0.21516245487364621;0.5205776173285198;0.003971119133574007;0.005776173285198556;0.0;0.007942238267148015;0.0;0.025631768953068592;0.06462093862815885;0.0332129963898917
110853167109182156|game1;G2 Mikyx;1881;1948;238.01087572072788;2;0.5;17;2;138.54363509718118;0.29025270758122745;0.01768953068592058;0.11696750902527075;0.36462093862815886;0.01768953068592058;0.022021660649819495;0.019494584837545126;0.03646209386281588;0.0;0.0184115523465704;0.06787003610108304;0.025992779783393503
110853167109182154|game1;T1 Keria;1482;1419;324.02644935112744;1;0.8;7;1;253.3118829212765;0.15061572466056206;0.0;0.1670350489422166;0.584780549415851;0.02620776760341017;0.0;0.0;0.02178718029681086;0.0;0.0;0.024628986422481843;0.017050836754025894
110853167109182154|game1;BLG ON;1482;1419;230.4188084274684;1;1.0;16;7;107.54703687751986;0.3034417429744237;0.0;0.07767603410167351;0.36501420903062837;0.05304704767919166;0.0012630249447426586;0.006946637196084623;0.14619513735396275;0.0;0.002841806125670982;0.05146826649826334;0.00884117461319861
