MatchId;SummonnerName;XPD@15;GD@15;XP/Min;Gold/Min;CS/Min;Kills;Deaths;Assists;KP%;Damage/Min;JungleProximity;botLanePresence;riverBotPresence
110853167109182164|game2;DK Deft;-1519;-1235;356.6549480714194;358.1078463721;8.906898278085395;0;0;2;1.0;190.42406149242075;0.1940500338066261;0.5253549695740365;0.04935767410412441
110853167109182164|game2;KT Aiming;-1519;-1235;452.60940540767274;436.1221681695146;11.05466098343932;0;0;0;0.0;282.95080281185307;0.1511156186612576;0.7278566599053414;0.018931710615280595
110853020184706735|game1;NRG FBI;-1504;-1853;286.16812744015783;285.662641677402;1.6428287289565255;0;0;3;0.75;423.39190071270116;0.24363386097728837;0.5915347556779078;0.047143840330350996
110853020184706735|game1;WBG Light;-1504;-1853;381.19945083825843;402.7457814757267;9.477858051672262;0;0;0;0.0;432.0432537534807;0.21335168616655195;0.7797660013764625;0.014452856159669649
110853020184706735|game3;NRG FBI;-157;-165;398.4230629486774;355.91533920668945;8.90577867402719;1;1;0;0.5;230.44209646932057;0.18193891102257637;0.5932934926958832;0.0
110853020184706735|game3;WBG Light;-157;-165;408.33942643677864;366.33699510182765;9.158424877545691;1;1;0;0.2;180.48647552420692;0.13844621513944222;0.4707835325365206;0.04714475431606906
110853020184706729|game4;BLG Elk;14;369;356.2518735404137;372.6748322497236;8.653635935290191;1;1;2;0.75;284.64304851284555;0.17901639344262296;0.5606557377049181;0.07245901639344263
110853020184706729|game4;GEN Peyz;14;369;355.36756037914324;349.3668639276646;8.71680116109523;0;2;2;1.0;223.78080895207;0.15049180327868852;0.6177049180327869;0.031475409836065574
110853020184706729|game5;BLG Elk;-892;-1315;297.6177813774847;268.6774535917335;1.2005812836883671;0;0;0;0.0;324.11874964815127;0.2114760014435222;0.6012269938650306;0.06423673763984121
110853020184706729|game5;GEN Peyz;-892;-1315;353.9819132222227;351.7703161206915;8.656822940279278;1;0;0;0.5;142.1311201045389;0.19631901840490798;0.5687477444965716;0.0
