MatchId;SummonnerName;XPD@15;GD@15;Kills;Deaths;Assists;WardPlaced;WardKilled;TotalDamageShieldedOnTeammates;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;TotalTimeCrowdControlDealt;TotalTimeCCOthers;JungleProximity;midLanePresence;topLanePresence;botLanePresence;jungleBlueEntryPresence;jungleRedEntryPresence
110853020184706753|game5;WBG Xiaohu;-106;-419;0;1;0;6;2;0.0;952.1663208007812;2046.4945068359375;57.15556335449219;1.490967869758606;0.32785087719298245;0.7569444444444444;0.0;0.0800438596491228;0.013523391812865496;0.0
110853020184706753|game5;BLG Yagao;-106;-419;1;0;0;6;5;0.0;1753.9981689453125;1753.9981689453125;28.255477905273438;1.0997874736785889;0.47953216374269003;0.6699561403508771;0.0;0.11074561403508772;0.007309941520467836;0.010964912280701754
110853020184706753|game4;BLG Yagao;1180;1305;3;0;2;9;1;450.1875915527344;1223.199951171875;3154.4541015625;150.5601348876953;4.62357234954834;0.3470225872689938;0.6409993155373033;0.03593429158110883;0.08521560574948665;0.006160164271047228;0.02087611225188227
110853020184706753|game4;WBG Xiaohu;1180;1305;1;1;0;6;3;0.0;634.8150634765625;634.8150634765625;200.10556030273438;14.771425247192383;0.33093771389459276;0.5756331279945243;0.007529089664613279;0.12902121834360028;0.04072553045859001;0.06433949349760439
110853020184706759|game3;T1 Faker;-356;-115;1;1;1;5;1;0.0;0.0;1869.128662109375;63.42024230957031;2.564631462097168;0.5170998632010944;0.6043091655266758;0.05471956224350205;0.0;0.026333789329685362;0.0006839945280437756
110853020184706759|game3;JDG knight;-356;-115;1;0;2;4;1;0.0;0.0;4246.30419921875;259.5535583496094;12.54833984375;0.46443228454172364;0.5143638850889193;0.09233926128590972;0.03454172366621067;0.0030779753761969904;0.020861833105335157
110853020184706759|game1;T1 Faker;-850;-271;2;0;4;8;0;575.9808959960938;1147.820068359375;4354.45068359375;261.837890625;18.821626663208008;0.48383838383838385;0.6134680134680135;0.0;0.06734006734006734;0.02053872053872054;0.0030303030303030303
110853020184706759|game1;JDG knight;-850;-271;1;1;1;2;6;0.0;134.27371215820312;953.2664794921875;44.28532791137695;0.6080816984176636;0.3797979797979798;0.530976430976431;0.03232323232323232;0.13872053872053872;0.007744107744107744;0.015824915824915825
110853020184706765|game1;WBG Xiaohu;720;501;1;0;1;8;7;0.0;470.7911376953125;2753.051513671875;46.018035888671875;3.7204859256744385;0.47561345046955467;0.7303847318994244;0.029990911844895485;0.0;0.020296879733414118;0.014541048167222055
110853020184706765|game1;T1 Faker;720;501;0;1;1;4;0;0.0;476.9462585449219;476.9462585449219;16.115615844726562;3.8638739585876465;0.403514086640412;0.6543471675249924;0.03604968191457134;0.030293850348379277;0.014843986670705847;0.014843986670705847
110853020184706759|game2;JDG knight;318;771;1;0;1;4;1;91.58235168457031;380.75286865234375;380.75286865234375;115.01823425292969;7.957578659057617;0.5133689839572193;0.6987522281639929;0.0;0.07878787878787878;0.017825311942959002;0.0
110853020184706759|game2;T1 Faker;318;771;0;0;2;6;0;0.0;0.0;0.0;69.26686096191406;4.029535293579102;0.45953654188948306;0.6755793226381461;0.0;0.08591800356506239;0.006417112299465241;0.004634581105169341
110853020184706765|game2;WBG Xiaohu;-14;-37;0;0;0;4;1;0.0;544.8884887695312;830.7017822265625;17.88726806640625;2.5009765625;0.34845132743362833;0.6202064896755162;0.049410029498525077;0.05457227138643068;0.029867256637168143;0.014380530973451327
110853020184706765|game2;T1 Faker;-14;-37;0;0;1;5;1;0.0;171.3356475830078;2019.623046875;243.45123291015625;11.28674030303955;0.44063421828908556;0.6338495575221239;0.05235988200589971;0.0;0.03502949852507375;0.024336283185840708
110853020184706765|game3;WBG Xiaohu;-738;-379;0;0;0;5;1;0.0;0.0;4385.86279296875;50.75721740722656;3.5432565212249756;0.4105332024860975;0.6306836768073274;0.016683022571148183;0.012757605495583905;0.015374550212626759;0.029440628066732092
110853020184706765|game3;T1 Faker;-738;-379;0;0;2;4;1;0.0;1096.58203125;2218.5419921875;45.33063507080078;1.1019878387451172;0.310107948969578;0.6509649983644096;0.0;0.09224730127576054;0.012757605495583905;0.025188092901537455
110853020184706759|game4;JDG knight;-16;-202;0;1;2;6;1;112.54705810546875;359.0726318359375;1887.8157958984375;119.16685485839844;8.674785614013672;0.3116883116883117;0.3838719420114769;0.132890365448505;0.1331923890063425;0.03956508607671398;0.0015101177891875567
110853020184706759|game4;T1 Faker;-16;-202;1;2;0;6;0;0.0;391.7760314941406;391.7760314941406;88.20075988769531;3.7382912635803223;0.3310178193899124;0.3684687405617638;0.0;0.3361522198731501;0.000906070673512534;0.01570522500755059
110853020184706753|game3;WBG Xiaohu;1009;387;0;0;0;8;3;0.0;348.8053283691406;693.4053344726562;119.99955749511719;14.324346542358398;0.30097437748105377;0.7481053771201732;0.0;0.015878744135691087;0.021291952363767592;0.001804402742692169
110853020184706753|game3;BLG Yagao;1009;387;1;0;0;5;3;0.0;0.0;520.5150146484375;51.77716827392578;0.8422734141349792;0.5110068567304222;0.5922049801515699;0.0;0.06171057380007217;0.003969686033922772;0.014435221941537351
110853020184706729|game5;BLG Yagao;-1004;-651;0;1;0;7;1;357.41461181640625;0.0;930.8496704101562;190.05885314941406;9.037215232849121;0.4002165283291231;0.7242872609166366;0.04583182966438109;0.010104655359076146;0.01335258029592205;0.006134969325153374
110853020184706729|game5;GEN Chovy;-1004;-651;1;0;0;5;4;0.0;0.0;0.0;44.92478942871094;0.7694166898727417;0.37315048718874055;0.6329844821364129;0.0822807650667629;0.10104655359076146;0.001443522194153735;0.008300252616383976
110853020184706741|game1;JDG knight;-263;-255;1;0;0;3;2;71.55580139160156;177.67633056640625;1904.843017578125;170.45689392089844;9.68490982055664;0.37944162436548223;0.6278553299492385;0.0;0.10881979695431472;0.04600253807106599;0.008248730964467006
110853020184706741|game1;KT Bdd;-263;-255;1;0;0;4;2;0.0;268.54742431640625;692.2352294921875;71.19487762451172;1.4838390350341797;0.31503807106598986;0.6481598984771574;0.0;0.11548223350253807;0.0266497461928934;0.006027918781725888
110853020184706741|game2;JDG knight;-24;181;1;1;1;4;3;0.0;672.3650512695312;3995.164794921875;73.66323852539062;6.705108642578125;0.45147679324894513;0.569268635724332;0.0;0.11181434599156118;0.014416315049226441;0.012658227848101266
110853020184706741|game2;KT Bdd;-24;181;0;0;1;5;1;231.14999389648438;0.0;0.0;129.8129119873047;11.835601806640625;0.4166666666666667;0.6543600562587905;0.0;0.06118143459915612;0.006329113924050633;0.026019690576652602
110853020184706741|game3;KT Bdd;538;551;1;0;1;5;1;0.0;0.0;5117.4013671875;88.14747619628906;3.813321828842163;0.49371766444937176;0.7402069475240207;0.05617147080561715;0.0;0.008869179600886918;0.012195121951219513
110853020184706741|game3;JDG knight;538;551;0;0;0;6;0;242.89581298828125;2109.79052734375;4418.79443359375;183.59371948242188;8.103728294372559;0.5310421286031042;0.6467110125646711;0.13636363636363635;0.0;0.003695491500369549;0.014042867701404288
110853020184706741|game4;KT Bdd;-395;26;1;1;2;6;6;0.0;0.0;127.59468841552734;173.3291778564453;19.602598190307617;0.5191220485533754;0.6305287662121716;0.007316262055204523;0.016960425673428665;0.02993016295310941;0.013302294645826405
110853020184706741|game4;JDG knight;-395;26;1;1;1;7;7;246.22943115234375;71.10188293457031;2862.33642578125;148.64390563964844;8.01777458190918;0.43066178915862985;0.6172264715663452;0.056867309610907885;0.0;0.005320917858330562;0.02494180246092451
110853020184706747|game1;LNG Scout;-193;-1548;0;0;0;6;0;0.0;0.0;890.5780029296875;72.3591537475586;3.177121162414551;0.5415579575102497;0.670145359672009;0.0;0.10063361908311591;0.021990309355199404;0.003354453969437197
110853020184706747|game1;T1 Faker;-193;-1548;2;0;0;9;3;0.0;779.2373657226562;1095.4837646484375;266.1475830078125;11.504193305969238;0.5005590756615729;0.6731270965337309;0.0;0.06857994781960491;0.017890421170331718;0.009690644800596348
110853020184706747|game2;LNG Scout;-98;9;1;1;0;4;4;0.0;1138.86376953125;1138.86376953125;34.882965087890625;2.2746269702911377;0.5050120981679918;0.5610093328724507;0.0867611475976495;0.09643968199101279;0.020394054614586935;0.002073971655720705
110853020184706747|game2;T1 Faker;-98;9;1;1;0;7;1;0.0;0.0;2262.533447265625;231.13104248046875;13.0136137008667;0.4832353957829243;0.5900449360525406;0.09955063947459385;0.09160041479433115;0.0034566194262011752;0.021431040442447286
110853020184706747|game3;LNG Scout;934;179;0;0;2;5;2;228.98452758789062;884.0852661132812;3593.42333984375;194.85748291015625;13.007694244384766;0.2895943562610229;0.5379188712522046;0.009523809523809525;0.1146384479717813;0.021516754850088183;0.006701940035273368
110853020184706747|game3;T1 Faker;934;179;2;0;0;9;2;0.0;0.0;3036.318115234375;71.58424377441406;4.959362983703613;0.3950617283950617;0.49523809523809526;0.0;0.14462081128747795;0.005643738977072311;0.015167548500881834
110853020184706753|game1;WBG Xiaohu;-385;370;0;0;2;7;2;0.0;1477.3671875;3782.685302734375;72.87406921386719;5.205413818359375;0.503448275862069;0.7822660098522167;0.0;0.0;0.011822660098522168;0.007553366174055829
110853020184706753|game1;BLG Yagao;-385;370;0;1;0;7;2;0.0;278.74554443359375;2282.302978515625;218.5766143798828;20.89088249206543;0.4407224958949097;0.780623973727422;0.0;0.0;0.027257799671592774;0.013464696223316914
110853020184706753|game2;BLG Yagao;-19;74;1;0;4;6;2;0.0;499.5617370605469;499.5617370605469;216.94998168945312;10.580538749694824;0.46134115060461706;0.5272993770611946;0.06375961890802492;0.037009893733968485;0.01978746793697325;0.030780505679736166
110853020184706753|game2;WBG Xiaohu;-19;74;1;2;1;7;2;0.0;1427.7841796875;3345.764404296875;92.57049560546875;4.358063697814941;0.40857456943935505;0.6302674972517406;0.017955294979846097;0.12422132649322096;0.013558079882740931;0.009893733968486624
110853020184706729|game1;GEN Chovy;479;366;1;0;0;7;2;0.0;894.6651611328125;2637.9091796875;65.92904663085938;3.303206205368042;0.3341515802393372;0.7502301319423136;0.0;0.039889536667689476;0.026081620128873887;0.0
110853020184706729|game1;BLG Yagao;479;366;0;1;2;8;3;261.54119873046875;86.55384826660156;226.5538330078125;211.7689971923828;13.673564910888672;0.3611537281374655;0.7029763731205891;0.0;0.053390610616753605;0.006750536974532065;0.006750536974532065
110853020184706735|game2;NRG Palafox;238;-526;0;1;2;8;3;51.78925323486328;269.394287109375;269.394287109375;148.13134765625;5.341289520263672;0.3259958071278826;0.5964360587002097;0.0;0.20859538784067086;0.027952480782669462;0.009783368273934312
110853020184706735|game2;WBG Xiaohu;238;-526;1;1;1;6;6;0.0;78.8799819946289;1803.538818359375;64.81208801269531;3.20001220703125;0.3001397624039133;0.5618448637316562;0.06464011180992313;0.0593990216631726;0.01607267645003494;0.047519217330538085
110853020184706735|game1;NRG Palafox;-436;447;2;0;1;10;3;264.2792053222656;101.1159896850586;1497.1629638671875;157.79067993164062;8.087030410766602;0.4012388162422574;0.6834136269786648;0.034067446662078456;0.0;0.02752924982794219;0.018926359256710254
110853020184706735|game1;WBG Xiaohu;-436;447;1;1;0;7;3;0.0;142.4397430419922;2555.396240234375;101.76333618164062;8.008270263671875;0.35788024776324845;0.678596008258775;0.0;0.03234686854783207;0.014796971782518927;0.025120440467997246
110853167109182166|game3;BLG Yagao;251;604;2;1;3;9;2;814.3539428710938;941.5106201171875;1520.509765625;215.65182495117188;6.841198921203613;0.36611629576453697;0.5348169418521177;0.07106963388370424;0.1048097631012204;0.04450825556353195;0.007896625987078248
110853167109182166|game3;G2 Caps;251;604;0;3;0;6;2;0.0;2418.6298828125;3061.162109375;54.18486785888672;3.356415033340454;0.3603732950466619;0.5692749461593682;0.10122038765254845;0.019023689877961235;0.0;0.03409906676238335
110853167109182166|game2;G2 Caps;832;1050;0;0;2;6;3;0.0;1073.654541015625;1073.654541015625;62.69482421875;6.8000640869140625;0.3564954682779456;0.559248069822088;0.0;0.23833501174890903;0.018462571332661968;0.004699563611950319
110853167109182166|game2;BLG Yagao;832;1050;0;3;0;2;3;0.0;0.0;1735.8587646484375;54.37700653076172;1.8169901371002197;0.3521315877811346;0.5985229942933871;0.12722390063779793;0.0513595166163142;0.004028197381671702;0.01342732460557234
110853167109182166|game1;G2 Caps;-13;-284;0;1;1;6;3;0.0;2298.576171875;2814.194580078125;63.11888122558594;3.5537538528442383;0.49461979913916787;0.543400286944046;0.0;0.14670014347202295;0.028335724533715925;0.013629842180774749
110853167109182166|game1;BLG Yagao;-13;-284;1;0;0;6;3;0.0;786.1201171875;4171.0400390625;429.9005126953125;11.6519193649292;0.4878048780487805;0.6696556671449068;0.0;0.036585365853658534;0.01649928263988522;0.015064562410329985
