Player_Name,XPD@14,CSD@14,GD@14
JDG 369,-282.75,2.25,-201.0
JDG Kanavi,-59.0,-3.0,-254.25
JDG knight,134.75,-1.5,-56.75
JDG Ruler,257.5,6.0,-132.75
JDG MISSING,-123.75,5.5,-190.75
