Player_Name,XPD@14,CSD@14,GD@14
T1 Zeus,174,30.0,989
T1 Oner,231,-10.0,-674
T1 Faker,-211,-15.0,80
T1 Gumayusi,808,1.0,-962
T1 Keria,182,7.0,-97
