Player_Name,XPD@24,CSD@24,GD@24
JDG 369,-4126,-59.0,-3354
JDG Kanavi,-1177,4.0,-1472
JDG knight,-56,26.0,-1798
JDG Ruler,-1467,-11.0,-1152
JDG MISSING,-2158,19.0,-2341
