Player_Name,XPD@37,CSD@37,GD@37
JDG 369,1165,-5.0,1528
JDG Kanavi,5024,26.0,5045
JDG knight,1410,-24.0,1530
JDG Ruler,3192,-38.0,2450
JDG MISSING,3264,4.0,3571
