Player_Name,XPD@24,CSD@24,GD@24
JDG 369,511.75,23.0,-615.0
JDG Kanavi,-304.0,-5.0,-758.75
JDG knight,611.5,6.5,25.25
JDG Ruler,-82.75,7.5,-411.25
JDG MISSING,-1350.5,5.25,-1283.25
