Player_Name,XPD@31,CSD@31,GD@31
T1 Zeus,5959,75.0,3649
T1 Oner,4328,-2.0,1891
T1 Faker,5630,7.0,4336
T1 Gumayusi,4108,-16.0,1069
T1 Keria,2034,10.0,1799
