Player_Name,XPD@31,CSD@31,GD@31
JDG 369,-5959,-75.0,-3649
JDG Kanavi,-4328,2.0,-1891
JDG knight,-5630,-7.0,-4336
JDG Ruler,-4108,16.0,-1069
JDG MISSING,-2034,-10.0,-1799
