Player_Name,XPD@30,CSD@30,GD@30
JDG 369,1379,71.0,-1227
JDG Kanavi,657,4.0,1591
JDG knight,-1718,-31.0,-907
JDG Ruler,220,19.0,888
JDG MISSING,-2014,-4.0,-1020
