Player_Name,XPD@8,CSD@8,GD@8
JDG 369,373,8.0,140
JDG Kanavi,431,2.0,469
JDG knight,52,6.0,109
JDG Ruler,-405,-12.0,-268
JDG MISSING,117,1.0,-166
