Player_Name,XPD@16,CSD@16,GD@16
JDG 369,-831,1.0,648
JDG Kanavi,723,12.0,1062
JDG knight,566,17.0,964
JDG Ruler,-437,-17.0,-307
JDG MISSING,420,0.0,-512
