Player_Name,XPD@8,CSD@8,GD@8
WBG TheShy,-62,-19.0,-427
WBG Weiwei,-114,-1.0,-255
WBG Xiaohu,-253,-4.0,337
WBG Light,-602,-62.0,-655
WBG Crisp,191,42.0,71
