Player_Name,XPD@8,CSD@8,GD@8
T1 Zeus,62,19.0,427
T1 Oner,114,1.0,255
T1 Faker,253,4.0,-337
T1 Gumayusi,602,62.0,655
T1 Keria,-191,-42.0,-71
